 0.9000,   -0.5000,    0.5600
 0.3000,    1.3000,   -1.6000
 2.8000,    0.2000,    7.8000
 2.9000,   -0.5000,    8.1600
 0.1000,    1.5000,   -2.2400
 0.1000,   -1.1000,   -1.2000
 0.7000,    2.9000,   -7.9200
 3.0000,   -2.6000,    2.2400
-2.7000,    1.5000,    5.0400
 2.1000,    1.0000,    3.4100
-1.8000,   -1.4000,    1.2800
-2.4000,    1.5000,    3.5100
-1.9000,    2.8000,   -4.2300
-2.3000,   -1.9000,    1.6800
-1.5000,   -1.5000,         0
-1.6000,    0.3000,    2.4700
 0.8000,   -2.0000,   -3.3600
 1.0000,    1.7000,   -1.8900
-1.5000,   -1.3000,    0.5600
-0.8000,   -0.3000,    0.5500
 1.1000,   -2.9000,   -7.2000
 0.6000,         0,    0.3600
 0.2000,    0.6000,   -0.3200
 0.7000,         0,    0.4900
-0.1000,    1.4000,   -1.9500
-1.7000,   -0.6000,    2.5300
 1.5000,   -1.6000,   -0.3100
 0.6000,   -1.8000,   -2.8800
 0.6000,   -1.7000,   -2.5300
 0.9000,   -2.7000,   -6.4800
 1.7000,    0.8000,    2.2500
-1.3000,   -3.0000,   -7.3100
-0.2000,    0.5000,   -0.2100
 1.8000,    2.5000,   -3.0100
 0.1000,   -0.1000,         0
 2.1000,    0.7000,    3.9200
-2.7000,   -0.9000,    6.4800
-0.7000,    1.3000,   -1.2000
 0.4000,   -2.2000,   -4.6800
 1.0000,   -0.5000,    0.7500
-0.4000,    2.3000,   -5.1300
-2.8000,    0.9000,    7.0300
-1.3000,    2.1000,   -2.7200
-0.5000,   -3.0000,   -8.7500
 0.6000,    1.0000,   -0.6400
 1.5000,    0.9000,    1.4400
-0.8000,    0.8000,         0
 0.2000,   -1.2000,   -1.4000
 1.1000,    3.0000,   -7.7900
-2.2000,    0.1000,    4.8300
 2.9000,    3.0000,   -0.5900
-1.9000,   -0.5000,    3.3600
-0.3000,   -2.9000,   -8.3200
-0.5000,   -0.8000,   -0.3900
 2.0000,   -1.1000,    2.7900
-2.3000,    2.6000,   -1.4700
 0.3000,         0,    0.0900
-1.1000,    2.0000,   -2.7900
-2.3000,    0.3000,    5.2000
 1.1000,    1.3000,   -0.4800
 1.6000,   -2.9000,   -5.8500
 0.9000,    1.2000,   -0.6300
 1.3000,   -3.0000,   -7.3100
 1.1000,    1.6000,   -1.3500
 0.7000,   -1.6000,   -2.0700
 3.0000,    2.1000,    4.5900
 0.4000,    1.2000,   -1.2800
-1.6000,   -1.0000,    1.5600
 2.4000,         0,    5.7600
-0.2000,   -1.7000,   -2.8500
