 0.9000,   -0.5000, -3.8257,  2.3451,  0.5600
 0.3000,    1.3000,  2.1785,  0.8758, -1.6000
 2.8000,    0.2000,  2.4493, -4.8634,  7.8000
 2.9000,   -0.5000, -1.7856, -0.9807,  8.1600
 0.1000,    1.5000,  3.5650,  0.1225, -2.2400
 0.1000,   -1.1000, -0.6176, -4.6758, -1.2000
 0.7000,    2.9000,  3.7595, -0.1213, -7.9200
 3.0000,   -2.6000,  2.8262,  4.3112,  2.2400
-2.7000,    1.5000,  1.0317, -2.7549,  5.0400
 2.1000,    1.0000, -1.0826,  2.4206,  3.4100
-1.8000,   -1.4000,  1.4756,  0.6164,  1.2800
-2.4000,    1.5000,  4.8119, -3.9160,  3.5100
-1.9000,    2.8000, -0.7140,  1.5941, -4.2300
-2.3000,   -1.9000,  3.7691,  1.7548,  1.6800
-1.5000,   -1.5000, -3.9837, -2.7044,       0
-1.6000,    0.3000,  1.2702,  0.8433,  2.4700
 0.8000,   -2.0000, -1.9740,  4.7477, -3.3600
 1.0000,    1.7000, -0.0854, -2.8163, -1.8900
-1.5000,   -1.3000,  2.4193,  2.3863,  0.5600
-0.8000,   -0.3000,  2.3935,  4.4495,  0.5500
 1.1000,   -2.9000, -1.8769, -4.5573, -7.2000
 0.6000,         0,  2.2237, -1.1569,  0.3600
 0.2000,    0.6000, -0.9377,  2.4481, -0.3200
 0.7000,         0,  0.3066,  4.3953,  0.4900
-0.1000,    1.4000, -3.2560, -3.3466, -1.9500
-1.7000,   -0.6000,  1.9586, -1.4957,  2.5300
 1.5000,   -1.6000, -1.6575,  0.8695, -0.3100
 0.6000,   -1.8000,  3.1583, -1.9280, -2.8800
 0.6000,   -1.7000, -1.7203,  3.6694, -2.5300
 0.9000,   -2.7000, -1.4612,  0.5596, -6.4800
 1.7000,    0.8000, -0.9889,  4.8228,  2.2500
-1.3000,   -3.0000,  4.8451, -2.6797, -7.3100
-0.2000,    0.5000, -2.9797,  3.5431, -0.2100
 1.8000,    2.5000, -4.0009, -0.8530, -3.0100
 0.1000,   -0.1000,  1.9599, -1.4174,       0
 2.1000,    0.7000, -4.5925,  0.7129,  3.9200
-2.7000,   -0.9000,  0.8248, -1.3711,  6.4800
-0.7000,    1.3000, -2.9411,  1.6238, -1.2000
 0.4000,   -2.2000,  0.2622, -1.7868, -4.6800
 1.0000,   -0.5000,  2.5416, -3.6430,  0.7500
-0.4000,    2.3000, -1.0838,  3.8271, -5.1300
-2.8000,    0.9000,  2.2472, -3.9155,  7.0300
-1.3000,    2.1000, -2.2745,  2.8971, -2.7200
-0.5000,   -3.0000, -3.5798,  0.9180, -8.7500
 0.6000,    1.0000, -3.0551,  4.1505, -0.6400
 1.5000,    0.9000, -2.1555,  3.2839,  1.4400
-0.8000,    0.8000, -3.8327, -4.9924,       0
 0.2000,   -1.2000, -4.3894,  1.5979, -1.4000
 1.1000,    3.0000,  2.2007, -2.9521, -7.7900
-2.2000,    0.1000,  4.9509,  3.8096,  4.8300
 2.9000,    3.0000, -2.2797, -1.9617, -0.5900
-1.9000,   -0.5000,  4.1678, -4.0231,  3.3600
-0.3000,   -2.9000, -4.5069, -4.1136, -8.3200
-0.5000,   -0.8000,  2.7200, -1.4000, -0.3900
 2.0000,   -1.1000,  2.7043, -3.8101,  2.7900
-2.3000,    2.6000,  1.2563,  0.2239, -1.4700
 0.3000,         0,  1.5023,  0.9749,  0.0900
-1.1000,    2.0000,  2.3464,  0.8428, -2.7900
-2.3000,    0.3000, -2.8177, -2.5836,  5.2000
 1.1000,    1.3000, -3.1904,  1.4000, -0.4800
 1.6000,   -2.9000, -0.6348, -4.8774, -5.8500
 0.9000,    1.2000, -4.0749,  3.9074, -0.6300
 1.3000,   -3.0000,  2.6576,  0.5894, -7.3100
 1.1000,    1.6000, -0.5767, -0.9068, -1.3500
 0.7000,   -1.6000, -3.7189,  2.0073, -2.0700
 3.0000,    2.1000, -2.1742, -0.3570,  4.5900
 0.4000,    1.2000,  0.7369, -0.5200, -1.2800
-1.6000,   -1.0000,  4.6257,  3.8223,  1.5600
 2.4000,         0,  1.8378,  4.7726,  5.7600
-0.2000,   -1.7000,  0.1052,  0.9191, -2.8500
