-3.0000, 0.0000
-2.9000, 0.0339
-2.8000, 0.0668
-2.7000, 0.0954
-2.6000, 0.1164
-2.5000, 0.1273
-2.4000, 0.1261
-2.3000, 0.1120
-2.2000, 0.0850
-2.1000, 0.0468
-2.0000,-0.0000
-1.9000,-0.0518
-1.8000,-0.1039
-1.7000,-0.1515
-1.6000,-0.1892
-1.5000,-0.2122
-1.4000,-0.2162
-1.3000,-0.1981
-1.2000,-0.1559
-1.1000,-0.0894
-1.0000, 0.0000
-0.9000, 0.1093
-0.8000, 0.2339
-0.7000, 0.3679
-0.6000, 0.5046
-0.5000, 0.6366
-0.4000, 0.7568
-0.3000, 0.8584
-0.2000, 0.9355
-0.1000, 0.9836
0,       1.0000
0.1000,  0.9836
0.2000,  0.9355
0.3000,  0.8584
0.4000,  0.7568
0.5000,  0.6366
0.6000,  0.5046
0.7000,  0.3679
0.8000,  0.2339
0.9000,  0.1093
1.0000,  0.0000
1.1000, -0.0894
1.2000, -0.1559
1.3000, -0.1981
1.4000, -0.2162
1.5000, -0.2122
1.6000, -0.1892
1.7000, -0.1515
1.8000, -0.1039
1.9000, -0.0518
2.0000, -0.0000
2.1000,  0.0468
2.2000,  0.0850
2.3000,  0.1120
2.4000,  0.1261
2.5000,  0.1273
2.6000,  0.1164
2.7000,  0.0954
2.8000,  0.0668
2.9000,  0.0339
3.0000,  0.0000
