-3.0000,-1.8097, 2.2362, 0.0000
-2.9000, 3.8696, 0.7515, 0.0339
-2.8000, 1.5743,-2.9977, 0.0668
-2.7000, 1.8452, 3.4348, 0.0954
-2.6000,-0.2605,-0.7627, 0.1164
-2.5000,-3.5876, 0.4475, 0.1273
-2.4000, 4.5092, 0.2797, 0.1261
-2.3000, 3.8263,-3.1489, 0.1120
-2.2000,-0.6256,-4.1831, 0.0850
-2.1000, 3.3496,-0.3591, 0.0468
-2.0000,-1.7486,-4.6945,-0.0000
-1.9000,-1.3236,-0.6502,-0.0518
-1.8000, 2.9484, 0.5786,-0.1039
-1.7000,-4.0069, 1.3878,-0.1515
-1.6000, 4.5178,-4.6578,-0.1892
-1.5000,-4.9853, 2.0990,-0.2122
-1.4000,-2.0460,-3.3068,-0.2162
-1.3000,-4.5155, 0.9338,-0.1981
-1.2000,-0.5726, 1.0806,-0.1559
-1.1000, 2.8985, 2.7236,-0.0894
-1.0000, 4.1352,-4.4373, 0.0000
-0.9000, 0.3325, 3.5473, 0.1093
-0.8000, 3.0408,-1.1572, 0.2339
-0.7000, 0.6266,-1.0038, 0.3679
-0.6000, 2.5088,-1.7458, 0.5046
-0.5000,-4.9077, 0.5539, 0.6366
-0.4000,-0.2322,-2.0458, 0.7568
-0.3000,-2.4967,-1.3388, 0.8584
-0.2000,-1.9208,-1.5095, 0.9355
-0.1000, 4.6695, 1.3022, 0.9836
      0,-2.9120, 1.6444, 1.0000
 0.1000, 0.2048, 4.9210, 0.9836
 0.2000,-2.7445, 4.4436, 0.9355
 0.3000, 0.6720,-1.4965, 0.8584
 0.4000, 4.9816,-3.0700, 0.7568
 0.5000,-3.6813, 4.1958, 0.6366
 0.6000, 4.5468,-2.1131, 0.5046
 0.7000,-3.7612, 0.5086, 0.3679
 0.8000,-3.1376, 4.1932, 0.2339
 0.9000, 1.4650,-4.0995, 0.1093
 1.0000,-3.7183,-2.4230, 0.0000
 1.1000,-4.1868,-0.7295,-0.0894
 1.2000, 1.5923, 0.7772,-0.1559
 1.3000,-4.7260, 3.9952,-0.1981
 1.4000, 4.8518,-2.8177,-0.2162
 1.5000, 0.3933, 4.6703,-0.2122
 1.6000,-1.2617,-0.6602,-0.1892
 1.7000, 2.0673, 2.8482,-0.1515
 1.8000, 4.4741, 0.2523,-0.1039
 1.9000,-1.1772,-1.6872,-0.0518
 2.0000, 1.9291,-0.6841,-0.0000
 2.1000, 1.0207, 2.1790, 0.0468
 2.2000, 2.7526, 4.1621, 0.0850
 2.3000, 0.9183, 3.9003, 0.1120
 2.4000,-1.2382,-3.6529, 0.1261
 2.5000, 3.5065,-3.8009, 0.1273
 2.6000,-2.7426, 3.9345, 0.1164
 2.7000, 2.9696, 1.5309, 0.0954
 2.8000, 4.9688,-4.5972, 0.0668
 2.9000,-2.1869, 0.0472, 0.0339
 3.0000, 2.1038, 3.9445, 0.0000
